,Generated Text,Actual Text
0,"낸 강다니엘 소속사 커넥트엔터테인먼트 측은 19일 공식 홈페이지를 통해 악플러 고소장을 제출하며 강경대응을 예고하였으며, 소속사 측은 9월 초 법률 자문 및 검토를 끝낸 건들에 대해 형법 제311조의 모욕죄 등의 혐의로 서울강남경찰서에 고소장 제출 및 고소인 진술까지 마쳤다고 밝혔다.",가수 강다니엘이 모욕죄 혐의로 악플러에 대한 고소장을 서울강남경찰서에 제출하며 합의나 선처없는 강경 대응을 하겠다고 선언했다.
1,"는 지난 7월 22일과 29일 두 차례에 걸쳐 안산시 각 중학교에서 선발된 청소년 의원들이 참석한 '2019년 안산시 청소년의회'가 의장단 구성을 마치고 본격적인 활동에 들어갔으며, 이로써 의장단 구성을 마친 청소년의회는 청소년들의 입장에서 지역사회 발전 및 생활불편 사항을 개선할 수 있는 정책을 발굴해 올 가을에 열릴 최종 발표회를 통해 공개할 계획이다.","안산시의회는 지난 7월 22일과 29일에 청소년의회 제1·2차 본회의를 열어 실제 의회의 의장단 선출 과정과 동일한 방식으로 의장·부의장 및 상임위원장 선거를 실시해 ‘2019년 안산시 청소년의회’ 의장단을 구성했으며, 본격적인 활동을 시작했다."
2,"는 2019 광주세계수영선수권대회 경기장에서 여자선수 12명의 신체 일부를 불법 촬영한 일본인 A(37)씨가 기소 의견으로 검찰에 송치되었으며, A씨의 카메라를 디지털 방식으로 분석한 결과 13일 오후 3시51분께 다이빙경기장에서 코치와 이야기하던 다이빙 선수를 촬영하는 등 수구와 다이빙 종목에 출전한 여자선수 12명의 ‘몰카’를 17차례 찍은 사실도 확인했다고 밝혔다.",2019 광주세계수영선수권대회에서 18일 일본인A씨가 12명의 여자선수들의 신체 일부분을 불법 촬영하던 중 외국인 선수 관계자의 신고로 잡혀 검찰에 송치됐다.
3,"는 지난 11일 익산 오투그란데 글로벌카운티 모델하우스를 열고 본격분양에 나선다고 밝힌 가운데, 오는 2020년 3월 개원 예정인 외국어교육지원센터는 익산시와 전북교육청이 공동 주관하는 정책사업으로 지역 학생 및 교사, 시민들에게 영어, 중국어 등을 포함한 다양한 언어교육 프로그램을 원어민 강사와 함께 진행한다.","제일건설은 실수요자들에게 선호도 높은 전용 면적과 효율적인 공간 활용을 강점으로 197세대에 이르는 다양한 주거 공간을 건설해, 이를 홍보하기 위한 일정으로 지난 11일 '익산 오투그란데 글로벌카운티' 모델하우스를 열어 분양에 박차를 가했다."
4,"는 월요일 11시 00분 기준, 조선업종 내 종목들 가운데 등락률 1위를 차지한 에이치엘비 종목의 등락률은 +14.87%로 148,300원에 거래되고 있으며 2위인 한라IMS 종목 등락률은 +3.15%로 7,210원에 거래되고 있다.","월요일 11시 00분 현재 조선업종 내 상승종목 등락률 1위를 차지한 에이치엘비종목의 이시간 등락률은 +14.87%, 148,300원에 거래되고 있고, 2위인 한라IMS종목 이시간 등락률은 +3.15%, 7,210원에 거래되고 있으며 3위 케이에스피종목의 등락률은 +0.91%, 1,655원에 거래되고 있다."
5,"는 고유정의 의붓아들 의문사 사건을 수사한 경찰이 고씨와 남편 A씨를 의붓아들인 B군 사망 사건과 관련해 살인과 과실치사 혐의로 각각 입건해 수사해온 결과, 고씨가 의붓아들을 살해한 것으로 잠정 결론을 내렸다.","경찰은 고유정을 살인과 과실치사 혐의로 각각 입건해 5개월이 넘는 수사와 전문가의 자문을 거쳤으며, 고씨가 남편 A씨와 의붓아들인 B군을 살해한 것으로 잠정 결론 내렸다."
6,"는 제주시 오라동과 서귀포시 서호·강정동 관내 수도미터 계량기 1000전이 디지털 수도미터기로 교체된다고 25일 밝혔는데, 이번 스마트 원격검침시스템은 검침원이 직접 방문하지 않고도 디지털 수도미터기 및 통신장비를 이용해 수도 사용량을 실시간으로 정확하게 파악할 수 있는 검침 방식으로 제주특별자치도는 지능형 사물인터넷 기반을 활용한 스마트 원격검침 시스템으로 시범운영에 나선다고 25일 밝혔다.","25일 제주특별자치도는 서호동·강정동 관내 수도미터 계량기 1000전을 디지털 수도미터기로 바꿀 계획이며, 사람이 직접 방문하지 않아도 디지털 수도미터기 및 통신장비를 이용해 수도 사용량을 실시간으로 파악할 수 있는 스마트 원격검침시스템 시범운영에 들어갈 예정이라고 밝혔다."
7,"는 공무원이나 공기업 직원에게 지급되는 복지포인트는 통상임금으로 볼 수 없다는 대법원 전원합의체 판결이 나왔는데, 이는 하급심 판결이 엇갈려 논란이 일던 가운데 나온 대법원의 첫 판결로 이번 판결이 영향을 줄 것으로 보인다.","대법원 전원합의체는 22일 복지포인트는 선택적 근로 복지에 해당하기 때문에 근로기준법상 임금이 아니라고 판결했는데, 이번 판결은 복지포인트는 통상임금으로 볼 수 없다는 대법원의 첫 판결이다."
8,"는 2019년 제1회 추경예산 편성을 위한 제230회 임시회를 개회하고 지난 5일 예산결산특별위원회 위원장에 송규근 의원, 부위원장에는 박소정 의원을 각각 선출했다고 7일 밝혔는데, 예결특위는 오는 10일까지 각 상임위원회별로 예비심사를 거친 뒤 심사 의결하고 의결된 예산안은 오는 11일에 열리는 제2차 본회의에 회부돼 최종 확정된다.","고양시의회는 2019년 제1회 추경예산 편성을 위한 제230회 임시회를 개회하여 지난 5일 예산결산특별위원회를 선출하였다고 7일 전하면서, 세외수입, 지방교부세, 조정교부금, 국도비보조금 등을 반영한 2조5천725억8천300만원의 예산안에 대해 오는 10일까지 각 상임위원회별로 예비심사를 거친 뒤 심사 의결하고 의결된 예산안은 오는 11일에 열리는 제2차 본회의에 회부하여 의결하게 된다고 밝혔다."
9,입창경찰 형사과 과학수사계에서는 범죄의 고도화와 법정에서의 치열한 다툼을 예상하여 일명 '거짓말 탐지검사'인 폴리그래프를 운영하고 있는 전북경찰청(청장 조용식) 형사과 과학수사계에서는 전담한 단 한명의 억울한 피해자도 발생하지 않도록 하는 것이 전북경찰의 가장 중요한 목표라며 공정한 경찰 위상을 정립 시키고자 한다.,전북경찰청 형사과 과학수사계 3개소에서는 억울한 피해자가 발생하지 않게 하기 위해 ‘거짓말 탐지검사’라 불리는 폴리그래프를 실시할 뿐만 아니라 검사 장비 및 검사관의 역량 발전에 지속적으로 힘써 과학수사 치안만족도를 향상시키고 공정한 경찰 위상을 정립 하기 위해 노력하겠다고 밝혔다.
10,는 완주군 고산자연휴양림 산림바이오매스를 방문하여 산림조합중앙회차원 신규 산림비지니스모델을 발굴하기 위해 산림바이오매스 홍보관을 방문해 산림형 에너지자립 비즈니스모델을 발굴하는 시간을 가졌다.,"완주군은 전국 시,군,지역 실무자 30여명과 함께 지난 27일 산림바이오매스 홍보관을 방문해 전국 최초 산림형 에너지자립 비즈니스모델을 발굴하는 시간을 가졌고, 2020년부터 산림바이오매스를 활용한 열병합 발전설비를 도입해 지역분산형 에너지센터를 조성하는 2단계 산림바이오매스 활용사업도 계획 중이라고 밝혔다."
11,"낸 김성 유엔주재 북한 대사가 향후 미북 협상에서 내려졌다는 입장을 밝혔다고 AP 등 외신이 7일 보도했는데, 미국의 대화 요구에 대해선 미국 정치상황과 맞물린 '시간벌기 속임수'라고 평가했고, 북한의 잇따른 미사일 발사를 규탄하는 유럽지역 국가들에 대해서도 편집증적이라고 맹공을 가했다.","김성 유엔주재 북한 대사가 향후 미북협상과 관련, 비핵화 이슈는 협상 테이블에서 내려졌다면서, 미국의 대화 요구에 대해선 미국 정치상황과 맞물린 '시간벌기 속임수라고 평가했으며, 김 대사는 일부 외신에 보낸 성명에서 ""북한을 질식시키려는 시도에서 적대정책을 이어가고 있다""고 미국 행정부를 비판했다."
12,"는 7일 2019년 ‘프리-스타기업’ 15개사와 ‘스타기업 100’ 5개사를 신규 선정했다고 밝혔는데, 대구시는 2007년부터 지역 내 유망업체를 발굴해 성장단계별 맞춤형 지원으로 미래성장을 주도할 글로벌 강소기업을 육성하기 위한 프로젝트로 선정된 스타기업들은 지난 6월 말 모집공고를 통해 분야별 전문가로 구성된 평가위원회의 단계별 심사를 거쳐 엄선된 기업들이다.","대구시는 2007년부터 지역 내 유망 업체를 발굴해 성장 단계별 맞춤형 지원을 통해 대구 경제의 미래 성장을 주도할 글로벌 기업 육성 프로젝트인 '스타기업 육성사업'을 진행하고 있는데, 2019년엔 '프리(Pre)-스타기업' 15개사와 '스타기업100' 5개사를 신규 선정하여 대구시와 원-라운드 테이블 참여기관의 맞춤형 지원과 특성화지원, 성장로드맵 컨설팅 지원 등 다양한 혜택을 지원할 예정이다."
13,"는 수요일 10시 27분 IT대표주 테마 내 종목들 가운데 1위를 차지한 삼성전자 종목의 등락률은 +0.59%로 1위를 차지했으며, 2위인 삼성SDI 종목 등락률은-0.22%로 224,000원에 거래되고 있다.","수요일 10시 27분을 기준으로 코스피 상장사인 삼성전자 종목은 코스피시장에서 +0.59% 상승하여 현재 51,500원에 거래되고 있으며 이어, 삼성SDI는 -0.22%의 등략률을 보이며 224,000원으로 거래 중이다."
14,"는 식당 사장을 협박해 돈을 갈취하려던 중국인 불법체류자 A씨에게 징역 2년 및 벌금 200만원을 선고했다고 6일 밝혔는데, 그는 지난 2017년 12월 23일 오후 전주시 한 시장 공용주차장에 주차된 B씨의 차량에 들어가 '중국을 가는 데 필요한 돈을 달라'는 내용이 적힌 쪽지를 건네며 B씨에게 돈을 요구한 혐의로 기소되었다.",A씨는 17년 12월 23일 오후 전주시 주차장에서 B씨의 차량에 들어가 돈을 요구한 혐의로 기소되었는데 1년 후에도 B씨의 집에 무단 침입하고 협박성 글이 적힌 쪽지를 B씨 차량에 붙인 혐의로 전주지법 형사 6 단독은 A씨에게 공갈미수 및 재물손괴등의 혐의로 징역 2년 및 벌금 200만원을 선고 했다고 6일 밝혔다.
15,"는 7일 오전 11시7분 정신질환을 앓던 A(61) 씨가 흉기 난동을 부려 테이저건을 이용해 제압했다고 밝혔으며, 경찰은 이날 A 씨의 형 B(67) 씨가 동생을 사설 보호시설로 옮기려 하자 A씨가 형과 사설 보호시설 관계자들을 향해 등산용 접이식 칼을 들고 난동을 부렸다.",부산 북부경찰서는 7일 오전 정신질환을 앓던 A(61)씨를 형이 사설 보호시설로 옮기려 하자 A씨가 등산용 접이식 칼을 들고 난동을 부리다가 결국 테이저건으로 제압당해 병원으로 옮겨져 치료를 받고 있으나 건강에는 이상이 없는 상태라고 밝혔다.
