,Generated Text,Actual Text
0,권익이 보호받을 수 있도록 힘쓸 것라며 가수 강다니엘이 악플러에 대한 고소장을 제출하며 강경대응을 예고했다.,가수 강다니엘이 모욕죄 혐의로 악플러에 대한 고소장을 서울강남경찰서에 제출하며 합의나 선처없는 강경 대응을 하겠다고 선언했다.
1,대한 의견을 나누기 위해 청소년의회 구성을 마친 후 '2019년 안산시 청소년의회'에서는 의장단 구성을 마치고 본격적인 활동에 돌입했다.,"안산시의회는 지난 7월 22일과 29일에 청소년의회 제1·2차 본회의를 열어 실제 의회의 의장단 선출 과정과 동일한 방식으로 의장·부의장 및 상임위원장 선거를 실시해 ‘2019년 안산시 청소년의회’ 의장단을 구성했으며, 본격적인 활동을 시작했다."
2,"12명의 여자선수들이 수영대회 경기장에서 카메라를 이용해 불법 촬영한 혐의로 검찰에 송치 되었으며 A씨는 지난 14일 오전 11시께 남부대학교 국제수영장 수구 연습경기장에서 몸을 풀렸으며 6명의 여자선수들을 총 3회, 2분2초 동안 촬영한 혐의를 받았다.",2019 광주세계수영선수권대회에서 18일 일본인A씨가 12명의 여자선수들의 신체 일부분을 불법 촬영하던 중 외국인 선수 관계자의 신고로 잡혀 검찰에 송치됐다.
3,않은 공간 활용으로 주거 생활을 돕기위해 익산시 선화로53길 8 일원에 건립 예정인 ‘익산 오투그란데 글로벌카운티’가 지난 11일 모델하우스를 열고 본격 분양에 나선다고 밝혔다.,"제일건설은 실수요자들에게 선호도 높은 전용 면적과 효율적인 공간 활용을 강점으로 197세대에 이르는 다양한 주거 공간을 건설해, 이를 홍보하기 위한 일정으로 지난 11일 '익산 오투그란데 글로벌카운티' 모델하우스를 열어 분양에 박차를 가했다."
4,"주식의 등락률은 1위를 차지한 에이치엘비 종목의 이 시간 등락률은 현재 +14.87%이며, 등락률 2위인 한라IMS 종목 이 시간 등락률은+3.15%이며, 등락률 3위 케이에스피 종목의 등락률은+0.91%이다.","월요일 11시 00분 현재 조선업종 내 상승종목 등락률 1위를 차지한 에이치엘비종목의 이시간 등락률은 +14.87%, 148,300원에 거래되고 있고, 2위인 한라IMS종목 이시간 등락률은 +3.15%, 7,210원에 거래되고 있으며 3위 케이에스피종목의 등락률은 +0.91%, 1,655원에 거래되고 있다."
5,들의 법률전문가들이 그간 확보한 고씨가 현재 결혼 생활에 B군이 걸림돌이 된다는 이유로 고유정을 의붓아들인 B군을 살해한 것으로 잠정 결론 내렸다.,"경찰은 고유정을 살인과 과실치사 혐의로 각각 입건해 5개월이 넘는 수사와 전문가의 자문을 거쳤으며, 고씨가 남편 A씨와 의붓아들인 B군을 살해한 것으로 잠정 결론 내렸다."
6,"수도본부는 스마트 원격검침시스템 시범운영을 통해 지능형 사물인터넷 기반 스마트 원격검침시스템에 대한 기술력을 지속적으로 축적하고 효과를 분석한 후 점차적으로 확대해 나갈 방침으로, 제주시 오라동과 서귀포시 서호동·강정동 관내 수도미터 계량기 1000전이 디지털 수도미터기로 교체된다.","25일 제주특별자치도는 서호동·강정동 관내 수도미터 계량기 1000전을 디지털 수도미터기로 바꿀 계획이며, 사람이 직접 방문하지 않아도 디지털 수도미터기 및 통신장비를 이용해 수도 사용량을 실시간으로 파악할 수 있는 스마트 원격검침시스템 시범운영에 들어갈 예정이라고 밝혔다."
7,"들의 복지포인트가 통상임금 포함 여부와 관련하여 하급심 판결이 엇갈린 가운데, 대법원은 22일 서울의료원 노동자 548명이 회사 상대로 낸 임금 청구소송 상고심에서 복지포인트를 통상임금에 포함해 산정한 법정수당을 지급하라고 원심 판결을 깨고 사건을 서울고법으로 돌려보냈다.","대법원 전원합의체는 22일 복지포인트는 선택적 근로 복지에 해당하기 때문에 근로기준법상 임금이 아니라고 판결했는데, 이번 판결은 복지포인트는 통상임금으로 볼 수 없다는 대법원의 첫 판결이다."
8,"수입, 지방교부세, 조정교부금, 국도비보조금 등을 반영한 제1회 추경예산 편성을 위한 임시회를 개회하고 지난 5일 예산결산특별위원회 위원장에 송규근 의원, 부위원장에는 박소정 의원을 각각 선출했다고 7일 밝혔다.","고양시의회는 2019년 제1회 추경예산 편성을 위한 제230회 임시회를 개회하여 지난 5일 예산결산특별위원회를 선출하였다고 7일 전하면서, 세외수입, 지방교부세, 조정교부금, 국도비보조금 등을 반영한 2조5천725억8천300만원의 예산안에 대해 오는 10일까지 각 상임위원회별로 예비심사를 거친 뒤 심사 의결하고 의결된 예산안은 오는 11일에 열리는 제2차 본회의에 회부하여 의결하게 된다고 밝혔다."
9,"성폭행사건의 혐의를 부인하던 피의자들을 상대로 일명 '거짓말 탐지검사'로 운영 중인 폴리그래프는 일명 '거짓말 탐지검사'로 전북에서는 전주와 익산 3개소에서 운영되고 있으며, 살인, 강 ·절도, 폭력범죄 및 범죄, 경제범죄 등을 비롯해 교통사고 등에도 활용되고 특정 사건의 수사·내사와 관련된 사항에 한해서는 검사 대상자가 스스로 동의한 경우에만 검사하면 된다.",전북경찰청 형사과 과학수사계 3개소에서는 억울한 피해자가 발생하지 않게 하기 위해 ‘거짓말 탐지검사’라 불리는 폴리그래프를 실시할 뿐만 아니라 검사 장비 및 검사관의 역량 발전에 지속적으로 힘써 과학수사 치안만족도를 향상시키고 공정한 경찰 위상을 정립 하기 위해 노력하겠다고 밝혔다.
